thanks for answering my question,43,0.175,130,0.079,11,0.051,32,0.032,147,0.026,74,0.022,50,0.017,97,0.017,9,0.015,94,0.014
establish a connection to my phone,63,0.083,1,0.075,3,0.051,135,0.047,50,0.045,130,0.034,11,0.034,39,0.034,42,0.032,67,0.029
can i substitute butter for margarine,72,0.434,11,0.108,32,0.052,90,0.039,130,0.026,9,0.024,69,0.019,39,0.017,128,0.015,97,0.014
how to direct deposit my paycheck,89,0.148,60,0.113,49,0.092,50,0.047,121,0.041,39,0.041,9,0.034,130,0.031,1,0.029,129,0.029
will you flip a coin so i can make a choice,7,0.219,11,0.139,9,0.085,90,0.037,114,0.032,32,0.03,3,0.029,69,0.025,39,0.023,97,0.02
i can't use my broken card,71,0.261,146,0.241,147,0.123,87,0.048,150,0.031,8,0.024,14,0.02,102,0.012,114,0.012,12,0.011
where are you from,83,0.26,9,0.086,26,0.062,75,0.036,148,0.031,2,0.024,32,0.021,11,0.02,39,0.015,97,0.014
i need rules for jump starting,27,0.158,42,0.049,129,0.048,1,0.046,32,0.028,100,0.024,50,0.024,97,0.023,58,0.022,11,0.022
how to fix walls,9,0.043,39,0.043,130,0.039,50,0.038,1,0.034,90,0.032,128,0.029,11,0.029,97,0.026,16,0.024
did you get confirmation my vacation is a go,2,0.185,132,0.105,32,0.053,3,0.046,50,0.036,120,0.036,130,0.031,11,0.029,97,0.025,41,0.024
what day is our next free day on the calendar, please,78,0.133,11,0.11,32,0.078,115,0.051,24,0.045,9,0.033,125,0.027,50,0.019,58,0.019,1,0.018
please tell me this month's transactions on my visa,11,0.075,8,0.07,2,0.057,32,0.049,3,0.041,57,0.031,9,0.027,132,0.026,115,0.025,50,0.022
tell me things i can do in chicago,41,0.177,11,0.075,75,0.045,32,0.035,2,0.033,26,0.032,9,0.027,69,0.024,97,0.021,58,0.016
can you connect to my phone,32,0.142,11,0.138,9,0.095,3,0.087,63,0.04,130,0.039,67,0.033,39,0.02,90,0.019,147,0.017
how long until my flight is here,98,0.121,50,0.061,115,0.057,32,0.056,2,0.054,6,0.047,58,0.041,148,0.04,132,0.028,11,0.024
what did ya save my name as,144,0.106,11,0.067,9,0.059,74,0.039,32,0.038,39,0.031,68,0.027,97,0.024,16,0.023,69,0.02
find me a graphic tutorial on writing longhand,9,0.076,11,0.066,16,0.038,68,0.033,42,0.032,86,0.03,130,0.029,90,0.025,94,0.023,39,0.022
how many meters are in 10 millimeters,81,0.288,148,0.174,55,0.046,9,0.037,96,0.024,1,0.023,39,0.022,11,0.02,147,0.015,26,0.013
i don't know how to spell squirrel,144,0.273,107,0.051,68,0.041,90,0.035,9,0.03,97,0.022,130,0.019,147,0.019,75,0.017,70,0.016
from here, how do i get to the statue of liberty by bus,41,0.186,121,0.127,129,0.064,148,0.048,32,0.044,132,0.042,9,0.042,75,0.037,11,0.033,2,0.025
how many points have i earned with my amex card,57,0.176,4,0.116,9,0.075,8,0.055,39,0.054,13,0.043,11,0.042,114,0.033,130,0.019,96,0.017
how many calories in meatloaf,0,0.335,34,0.291,112,0.041,66,0.02,81,0.018,11,0.016,39,0.015,9,0.013,90,0.012,96,0.01
do i need to get a plug converter for athens,65,0.076,11,0.07,32,0.052,9,0.045,147,0.043,128,0.04,130,0.039,90,0.036,50,0.033,75,0.027
what movie does it's just a flesh wound come from,39,0.085,55,0.059,9,0.053,147,0.031,96,0.026,97,0.026,130,0.025,11,0.025,50,0.025,90,0.023
how much have i spent on food recently,57,0.156,9,0.06,139,0.037,8,0.037,11,0.033,114,0.028,32,0.022,85,0.022,0,0.022,90,0.02
can you help me switch to a new insurance plan,15,0.258,105,0.117,11,0.08,32,0.075,27,0.043,9,0.041,3,0.041,50,0.023,135,0.02,69,0.019
i want to order some new checks because i ran out of them,100,0.151,50,0.096,1,0.081,11,0.056,9,0.031,32,0.03,69,0.026,27,0.02,130,0.019,75,0.019
please schedule a meeting with kim at 10 am,88,0.115,11,0.07,97,0.065,3,0.059,78,0.051,25,0.045,69,0.044,58,0.042,115,0.039,24,0.029
what ingredients do i need for chicken breast,11,0.08,32,0.076,3,0.069,66,0.063,104,0.058,112,0.056,1,0.047,34,0.046,9,0.042,50,0.041
can i call you by any name,11,0.175,3,0.138,32,0.093,130,0.043,74,0.038,9,0.036,39,0.027,107,0.026,147,0.022,55,0.017
change the song to the next one,135,0.201,29,0.079,37,0.072,1,0.065,27,0.06,50,0.058,121,0.055,137,0.036,40,0.03,133,0.027
look up the gas mileage for my vehicle,94,0.19,38,0.085,99,0.072,11,0.058,9,0.042,41,0.033,39,0.032,16,0.022,32,0.019,2,0.018
you need to set the timer for me,11,0.157,58,0.076,6,0.07,16,0.043,129,0.043,77,0.041,9,0.035,130,0.022,39,0.021,97,0.017
can i make a car maintenance appointment,11,0.117,125,0.106,32,0.058,50,0.05,9,0.048,3,0.046,1,0.043,130,0.035,69,0.031,2,0.024
what is the minimum payment due on my visa,19,0.138,54,0.056,114,0.052,9,0.052,134,0.043,110,0.036,11,0.036,33,0.033,1,0.024,3,0.022
do i need a visa to go to somewhere internationally,134,0.22,128,0.107,54,0.096,132,0.048,11,0.042,2,0.04,50,0.025,32,0.025,9,0.024,16,0.019
compose text message,68,0.417,114,0.026,130,0.025,1,0.025,39,0.022,107,0.018,94,0.015,23,0.014,90,0.014,50,0.014
is it raining,31,0.138,50,0.048,9,0.04,20,0.034,147,0.033,130,0.032,32,0.031,39,0.028,97,0.027,55,0.026
set a one hour timer,6,0.207,58,0.17,77,0.026,17,0.023,27,0.022,19,0.022,1,0.02,50,0.019,97,0.017,16,0.016
how clogged are the streets before the stadium,18,0.297,122,0.066,132,0.036,50,0.035,121,0.029,9,0.029,41,0.022,16,0.021,39,0.02,11,0.017
tell me how good the apr is on my card please,82,0.089,109,0.082,113,0.045,50,0.037,11,0.035,128,0.033,32,0.03,112,0.027,69,0.025,41,0.019
what's the facts about nutrients in rice milk,34,0.389,32,0.033,114,0.031,11,0.027,39,0.022,9,0.021,23,0.019,16,0.019,55,0.018,50,0.018
stop the connection with my phone,91,0.266,87,0.192,147,0.114,14,0.037,27,0.031,71,0.024,148,0.018,63,0.016,9,0.014,50,0.013
search for the nearest expressway to the airport,41,0.243,121,0.078,132,0.064,11,0.047,148,0.041,129,0.032,2,0.03,9,0.025,1,0.025,75,0.023
am i scheduled to meet with heather today,88,0.135,25,0.124,115,0.088,24,0.086,78,0.058,97,0.036,58,0.025,50,0.024,147,0.024,130,0.018
what is playing,137,0.077,10,0.046,50,0.044,39,0.038,133,0.036,32,0.033,9,0.03,94,0.023,97,0.02,1,0.019
when can i expect my new card,32,0.137,111,0.103,11,0.082,50,0.058,128,0.042,115,0.036,1,0.034,58,0.028,114,0.023,131,0.02
please let me know how long it'll be until i reach the sky harbor airport,32,0.116,41,0.068,98,0.062,11,0.059,148,0.055,2,0.044,132,0.041,58,0.034,121,0.033,3,0.031
give me the tire pressure for the car,59,0.163,103,0.109,11,0.078,3,0.053,1,0.041,32,0.039,8,0.032,128,0.03,41,0.028,9,0.027
hey computer, make a reservation for 2 for my parents at red lobster on wednseday next, 2:00pm if possible,113,0.167,82,0.146,112,0.131,69,0.085,97,0.061,41,0.048,11,0.038,1,0.034,115,0.021,120,0.017
are there any transaction fees associated with my amex card if i am in belgium,8,0.141,54,0.128,11,0.096,32,0.054,75,0.049,9,0.048,132,0.033,148,0.03,39,0.026,41,0.024
what car rental choices are there in calgary,143,0.356,41,0.066,75,0.05,11,0.046,32,0.035,9,0.031,3,0.027,2,0.024,50,0.023,97,0.019
how do i get to the beach by bus,41,0.299,121,0.063,11,0.06,9,0.056,32,0.056,129,0.045,132,0.033,2,0.025,148,0.024,3,0.02
can you tell me when my cable bill is due,11,0.128,32,0.124,9,0.101,115,0.061,3,0.038,110,0.035,85,0.034,33,0.033,50,0.032,58,0.021
how much have i spent on eating out recently,57,0.154,9,0.048,8,0.044,50,0.033,113,0.03,0,0.029,11,0.026,85,0.024,58,0.021,32,0.019
how do i get to statue of liberty by bus,41,0.383,121,0.052,9,0.048,129,0.04,11,0.037,132,0.026,32,0.023,148,0.022,50,0.02,2,0.02
i need help paying my hoa bill,33,0.127,11,0.114,110,0.098,85,0.064,32,0.052,114,0.047,9,0.047,8,0.026,128,0.02,49,0.016
how much are my bills,85,0.116,57,0.078,8,0.057,114,0.056,33,0.053,32,0.04,9,0.039,11,0.035,50,0.03,1,0.025
how long does it take to make lasagna,77,0.145,58,0.086,66,0.085,112,0.053,9,0.049,11,0.038,39,0.029,50,0.025,6,0.023,96,0.02
text audrey and tell her i will be there soon,2,0.198,68,0.092,41,0.064,3,0.057,26,0.044,75,0.028,58,0.026,129,0.025,98,0.024,107,0.024
i want to listen to my maroon 5 playlist, play it for me,11,0.214,137,0.102,32,0.072,9,0.06,130,0.048,133,0.042,58,0.024,26,0.02,121,0.02,69,0.02
i want an alarm for 6 am,138,0.127,11,0.085,42,0.062,97,0.061,32,0.043,16,0.04,27,0.032,1,0.03,58,0.029,69,0.029
are you a person or artificial intelligence,124,0.129,32,0.125,55,0.065,11,0.039,50,0.038,39,0.032,9,0.028,128,0.027,69,0.025,97,0.024
what is the next thing i should do if i lost my luggage,93,0.431,41,0.061,32,0.042,9,0.035,132,0.033,11,0.03,1,0.028,50,0.024,2,0.022,16,0.013
secure the doors,97,0.147,50,0.122,1,0.1,132,0.037,16,0.037,39,0.03,75,0.022,130,0.021,147,0.018,100,0.017
if you had to say who you worked for who would it be,127,0.364,9,0.05,55,0.043,39,0.036,107,0.032,73,0.025,11,0.021,3,0.019,130,0.019,90,0.017
yes, i'd really like that alot,11,0.158,32,0.127,130,0.055,69,0.033,116,0.029,97,0.027,94,0.019,41,0.017,128,0.014,39,0.013
tell me status of my day off request,32,0.156,3,0.04,11,0.04,9,0.039,50,0.034,58,0.033,115,0.031,97,0.031,1,0.031,128,0.026
what's in the books for april 30th,115,0.161,24,0.102,109,0.067,78,0.064,50,0.038,1,0.02,25,0.019,120,0.017,18,0.013,68,0.013
would you say you are working for me,127,0.245,107,0.149,11,0.038,9,0.031,130,0.028,32,0.026,97,0.022,39,0.022,3,0.021,55,0.015
tell me where you're made,97,0.089,11,0.073,127,0.071,32,0.069,49,0.054,73,0.045,50,0.041,26,0.034,9,0.024,55,0.022
i'd like you to book me a room in austin near google's headquarters from january 01, 2020 to february 02, 2020,41,0.143,69,0.077,115,0.075,97,0.06,2,0.053,9,0.049,11,0.042,32,0.023,3,0.022,62,0.022
is there enough money in my discover account for a new pair of jeans,23,0.088,32,0.085,49,0.061,9,0.053,11,0.053,90,0.041,114,0.039,3,0.033,104,0.033,50,0.029
what is global warming,55,0.071,9,0.05,16,0.048,32,0.039,11,0.033,39,0.032,22,0.031,97,0.028,69,0.021,75,0.02
in what format did you save my name,9,0.128,11,0.091,74,0.072,144,0.055,32,0.045,68,0.023,39,0.021,75,0.019,147,0.017,1,0.017
please find my routing number for my citizens' bank account,121,0.143,11,0.064,9,0.054,16,0.036,32,0.032,8,0.031,135,0.028,3,0.026,39,0.026,50,0.023
what does water taste like,9,0.102,11,0.09,96,0.042,55,0.04,39,0.036,32,0.032,69,0.029,16,0.025,97,0.023,70,0.019
what fuel should i use for this car,11,0.105,99,0.089,94,0.077,32,0.071,3,0.06,38,0.044,9,0.043,39,0.032,41,0.031,114,0.028
please transfer $5000 to money market from checking account,135,0.112,11,0.097,32,0.07,8,0.064,114,0.036,121,0.034,130,0.03,1,0.03,3,0.029,50,0.029
could you put a stop on my bank account,11,0.073,32,0.063,102,0.053,9,0.047,57,0.043,8,0.037,147,0.03,3,0.028,114,0.026,87,0.024
tell me the complete spelling of definitely,144,0.248,130,0.102,9,0.081,11,0.057,32,0.031,97,0.03,74,0.029,39,0.021,68,0.021,1,0.013
at what point will the review of my credit card application be completed,32,0.158,128,0.147,50,0.072,11,0.045,9,0.037,6,0.036,58,0.029,115,0.029,1,0.027,129,0.018
i want you to cancel my reservation for 5 at red robin,113,0.153,87,0.112,52,0.107,82,0.048,41,0.044,112,0.037,11,0.03,9,0.029,2,0.027,115,0.022
how long does chicken curry last in the freezer before it's spoiled,9,0.066,112,0.043,58,0.04,11,0.035,50,0.034,32,0.031,139,0.031,66,0.028,6,0.027,102,0.022
what are your interests,10,0.334,11,0.043,9,0.031,69,0.023,32,0.019,94,0.016,97,0.016,23,0.015,39,0.015,16,0.012
who do i have the pleasure of speaking with,3,0.127,11,0.044,74,0.033,32,0.033,118,0.03,39,0.026,97,0.023,50,0.022,9,0.021,69,0.02
my answer to your question is yes,130,0.327,97,0.066,39,0.027,11,0.019,69,0.017,55,0.016,32,0.015,75,0.015,94,0.014,50,0.013
can you make reservations at steak 'n' shake,69,0.179,82,0.139,112,0.125,97,0.058,113,0.057,11,0.045,50,0.045,3,0.035,75,0.029,1,0.025
is my reservation confirmed for lu shi at 7 pm,113,0.183,97,0.158,50,0.084,130,0.038,2,0.037,115,0.032,82,0.032,1,0.03,112,0.02,69,0.019
how long do i've got until my discovery card expires,44,0.152,58,0.085,115,0.075,32,0.057,6,0.043,128,0.029,11,0.027,114,0.027,9,0.026,12,0.026
im going to be in slovakia from january 16th until january 19th,115,0.147,2,0.097,121,0.04,41,0.036,78,0.035,58,0.034,24,0.029,120,0.029,97,0.027,132,0.025
i may have had fraud committed on my account,90,0.372,138,0.067,92,0.038,130,0.026,71,0.02,32,0.02,8,0.018,23,0.017,9,0.017,114,0.017
does my todo list have vacuuming on it,126,0.228,50,0.057,9,0.041,147,0.039,130,0.035,18,0.032,90,0.031,11,0.029,39,0.027,32,0.026
what kind of gas does this car use,99,0.325,38,0.126,94,0.104,39,0.04,11,0.033,9,0.032,32,0.023,55,0.015,50,0.015,1,0.009
can you flip a coin once,11,0.142,7,0.126,9,0.075,32,0.063,90,0.058,147,0.037,130,0.036,39,0.024,96,0.024,114,0.023
command cancel,87,0.262,71,0.092,147,0.092,91,0.062,50,0.039,27,0.029,14,0.022,52,0.017,19,0.012,75,0.012
was the god osiris a titan or an old god,144,0.15,90,0.072,55,0.065,70,0.041,50,0.038,9,0.036,130,0.036,39,0.024,128,0.023,97,0.02
how much is 500 dollars in pesos,117,0.216,81,0.157,9,0.038,55,0.036,39,0.024,49,0.024,70,0.021,19,0.019,11,0.018,20,0.015
could you role a ten sided die,11,0.131,35,0.078,9,0.075,90,0.06,32,0.059,130,0.037,39,0.035,147,0.026,69,0.023,97,0.021
can you tell me what you call me,11,0.207,74,0.148,32,0.098,9,0.064,3,0.039,69,0.033,39,0.019,97,0.018,107,0.016,144,0.015
can you set a reminder alarm for me to workout,11,0.108,16,0.1,9,0.073,138,0.07,58,0.057,32,0.042,130,0.039,3,0.038,69,0.028,97,0.022
how many calories are in a can of coke,0,0.289,34,0.237,81,0.022,11,0.021,112,0.02,9,0.02,96,0.019,39,0.018,147,0.017,16,0.013
i need to know what routing number i should use for ally,121,0.127,9,0.1,129,0.052,41,0.052,16,0.035,55,0.029,1,0.027,130,0.026,97,0.019,90,0.016
go ahead and book a reservation for 8 pm at red robin under the name kevin,113,0.217,69,0.121,97,0.097,82,0.092,112,0.035,3,0.023,41,0.02,130,0.019,11,0.019,1,0.018
flip a coin and let me know if it lands on heads or tails, please,7,0.342,11,0.148,9,0.094,32,0.067,114,0.025,3,0.024,23,0.021,90,0.017,39,0.013,13,0.013
what time zone is ireland in,17,0.25,75,0.056,58,0.053,9,0.043,11,0.03,41,0.025,32,0.024,39,0.021,55,0.019,50,0.017
i wanna apply for a new credit card,128,0.225,11,0.105,131,0.091,32,0.061,111,0.032,42,0.029,130,0.028,90,0.024,50,0.02,4,0.013
how is the approval of my day off progressing,32,0.088,50,0.058,11,0.035,97,0.033,86,0.033,58,0.031,130,0.031,115,0.029,114,0.027,1,0.026
who sings this song,133,0.189,39,0.055,9,0.046,130,0.04,147,0.032,137,0.027,50,0.025,11,0.024,90,0.02,32,0.019
what are all the things on the shopping list,140,0.394,50,0.052,104,0.043,9,0.039,1,0.027,39,0.021,126,0.02,11,0.017,142,0.015,100,0.013
what is your favorite, cats or dogs,108,0.213,11,0.151,9,0.089,32,0.037,39,0.015,90,0.015,69,0.014,50,0.014,130,0.013,10,0.013
did i put a car wash on my todo list,126,0.198,90,0.071,142,0.054,50,0.044,130,0.043,58,0.036,32,0.035,11,0.029,147,0.029,9,0.027
how many stars does la vignette have,9,0.061,11,0.05,101,0.047,39,0.037,82,0.035,50,0.035,96,0.029,81,0.026,32,0.022,114,0.021
i'd like the language to be in spanish,107,0.23,11,0.198,32,0.07,97,0.025,68,0.021,106,0.018,147,0.017,69,0.016,39,0.015,144,0.014
what date should i next change my oil,48,0.249,125,0.127,46,0.071,115,0.065,11,0.054,32,0.047,9,0.03,50,0.027,1,0.022,3,0.017
on my way to work, is there traffic,122,0.206,18,0.09,132,0.085,75,0.054,32,0.041,121,0.037,2,0.03,9,0.03,50,0.026,39,0.02
is there a good website to teach me how to make sushi,32,0.165,11,0.092,112,0.063,9,0.044,90,0.043,82,0.022,128,0.022,130,0.021,147,0.017,50,0.017
how do i get to the court house on foot,41,0.227,121,0.078,11,0.072,129,0.071,9,0.043,148,0.043,32,0.03,132,0.027,75,0.025,50,0.023
what are some steps to building my credit score,141,0.243,47,0.145,129,0.051,9,0.036,11,0.026,114,0.025,1,0.021,90,0.017,39,0.016,42,0.016
i need to set an alarm,138,0.286,16,0.118,61,0.031,11,0.028,39,0.025,58,0.022,130,0.022,97,0.02,27,0.017,42,0.017
please roll twelve sided dice,35,0.254,11,0.121,32,0.049,130,0.048,9,0.037,39,0.025,69,0.021,90,0.02,3,0.019,97,0.017
i want to know what trenchant means,11,0.221,32,0.121,9,0.073,144,0.05,55,0.035,97,0.026,69,0.019,107,0.016,39,0.015,68,0.013
i would like you to buy me some paper plates,11,0.185,32,0.096,9,0.072,130,0.054,50,0.037,112,0.03,69,0.025,97,0.024,8,0.024,19,0.023
tell me that status of flight dl123,98,0.2,115,0.055,32,0.049,2,0.043,75,0.032,11,0.029,3,0.029,97,0.02,9,0.019,50,0.018
skip to the next track,41,0.144,121,0.088,37,0.08,50,0.044,40,0.034,135,0.029,29,0.025,94,0.02,71,0.02,1,0.02
i am hungry and need a restaurant suggestion,112,0.13,82,0.112,11,0.106,50,0.075,9,0.062,3,0.053,32,0.046,0,0.026,1,0.024,90,0.015
go back to whisper mode,27,0.216,56,0.152,107,0.1,20,0.051,135,0.031,40,0.027,11,0.022,97,0.02,71,0.015,87,0.015
what kind of animals do you own,108,0.656,11,0.035,32,0.02,9,0.016,50,0.012,39,0.012,55,0.008,97,0.008,94,0.006,69,0.006
can you find me the apr listed on the statement for my citi mastercard,11,0.124,32,0.07,9,0.054,109,0.053,8,0.048,57,0.032,3,0.026,130,0.023,33,0.022,39,0.021
can you tell me my name,74,0.265,11,0.178,9,0.092,32,0.09,144,0.025,69,0.023,3,0.022,97,0.012,130,0.011,39,0.009
where did you live before here,9,0.047,26,0.038,75,0.037,83,0.033,11,0.031,39,0.029,94,0.025,148,0.025,16,0.025,50,0.023
what steps should i take to improve my credit score,141,0.307,47,0.204,11,0.07,9,0.038,32,0.031,129,0.025,50,0.016,114,0.013,90,0.012,58,0.01
flip a heads or tails coin i pick heads,7,0.399,130,0.043,13,0.041,50,0.033,23,0.033,1,0.03,114,0.03,39,0.028,19,0.019,55,0.018
i would like you to help me get on another united healthcare insurance plan,15,0.146,11,0.128,32,0.119,105,0.071,128,0.038,9,0.034,50,0.023,69,0.023,1,0.017,130,0.016
when was i paid the last time,58,0.105,115,0.048,57,0.041,40,0.038,33,0.036,114,0.034,16,0.034,32,0.033,8,0.032,85,0.031
whats the next day that i am off,115,0.095,2,0.04,78,0.038,91,0.038,58,0.031,97,0.031,39,0.025,27,0.019,1,0.019,24,0.018
how many students attend ucsb,50,0.052,75,0.04,39,0.033,1,0.033,9,0.029,20,0.028,11,0.027,147,0.024,32,0.024,116,0.024
